City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,paita,-5.0892,-81.1144,21.18,86,85,5.17,PE,1691982925
1,saipan,15.1355,145.701,27.39,100,100,4.63,MP,1691982925
2,yellowknife,62.456,-114.3525,18.09,72,100,5.66,CA,1691982926
3,happy valley-goose bay,53.3168,-60.3315,14.17,77,100,2.57,CA,1691982926
4,mao,39.8885,4.2658,24.31,100,20,3.09,ES,1691982926
5,colonia,50.9333,6.95,16.65,86,0,1.03,DE,1691982805
6,albany,42.6001,-73.9662,20.23,81,65,2.72,US,1691982754
7,tual,-5.6667,132.75,25.67,79,96,9.21,ID,1691982927
8,ushuaia,-54.8,-68.3,1.81,80,0,1.03,AR,1691982927
9,gaspe,48.8334,-64.4819,15.71,90,90,1.01,CA,1691982664
10,howard springs,-12.497,131.047,31.01,29,5,2.92,AU,1691982927
11,coahuayana de hidalgo,18.7,-103.6583,27.21,90,66,0.35,MX,1691982927
12,talnakh,69.4865,88.3972,16.23,55,58,1.24,RU,1691982928
13,puerto natales,-51.7236,-72.4875,1.07,96,69,2.35,CL,1691982928
14,san patricio,28.017,-97.5169,30.05,79,2,6.3,US,1691982928
15,bilibino,68.0546,166.4372,20.81,35,69,3.73,RU,1691982928
16,prince rupert,54.3161,-130.3201,14.05,97,100,1.54,CA,1691982929
17,grytviken,-54.2811,-36.5092,-5.51,80,28,4.96,GS,1691982929
18,abepura,-2.6333,140.5833,31.45,58,20,2.57,ID,1691982929
19,port-aux-francais,-49.35,70.2167,2.32,74,97,9.62,TF,1691982929
20,adamstown,-25.066,-130.1015,19.15,61,24,5.02,PN,1691982929
21,antsohihy,-14.8796,47.9875,22.69,77,96,1.32,MG,1691982929
22,pisco,-13.7,-76.2167,18.03,82,0,4.12,PE,1691982930
23,college,64.8569,-147.8028,20.99,47,75,3.09,US,1691982930
24,oranjemund,-28.55,16.4333,10.64,93,1,3.46,,1691982930
25,rixheim,47.7514,7.4009,22.49,97,96,1.34,FR,1691982930
26,calca,-13.3333,-71.95,10.64,83,100,1.6,PE,1691982930
27,kashgar,39.4547,75.9797,28.56,14,40,3.0,CN,1691982931
28,waitangi,-43.9535,-176.5597,13.79,87,84,2.24,NZ,1691982931
29,praia da vitoria,38.7333,-27.0667,22.14,94,40,2.97,PT,1691982931
30,cankaya,39.9179,32.8627,26.59,44,0,3.09,TR,1691982834
